Type,SKU,Name,Published,Is featured?,Short description,Description,Tax status,Tax class,Stock,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Product URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Weight (kg),Length (cm),Width (cm),Height (cm)
simple,BONSAI-JUN-5Y-001,Japanese Juniper Bonsai (5 Years),1,1,"Stunning Japanese Juniper, perfect for beginners. 5 years old, 25cm height.","The Japanese Juniper (Juniperus procumbens) is one of the most popular bonsai species, known for its hardiness and beautiful green foliage. This 5-year-old specimen has been carefully trained and is perfect for beginners.

**Features:**
- Age: 5 years
- Height: 25cm
- Species: Juniperus procumbens
- Difficulty: Beginner-friendly
- Location: Outdoor bonsai
- Pot included: Traditional ceramic pot

**Care Instructions:**
- Water: Keep soil slightly moist, water when top soil is dry
- Light: Full sun to partial shade
- Temperature: Hardy, can withstand frost
- Pruning: Prune new growth regularly to maintain shape

**Shipping:**
- EU only (live plant shipping restrictions)
- Arrives with care instructions
- Securely packaged for safe delivery

This beautiful juniper makes an excellent first bonsai or addition to any collection.",taxable,,15,89.00,"Live Bonsai Trees","Juniper, Beginner, Outdoor, Evergreen",,,,,,,,Species,Juniper,Age,5 years,Difficulty,Beginner,2,25,20,30
simple,BONSAI-FIC-7Y-002,Chinese Ficus Bonsai (7 Years),1,1,"Beautiful indoor Ficus with aerial roots. 7 years old, 30cm height.","The Chinese Ficus (Ficus retusa) is the perfect indoor bonsai, featuring beautiful aerial roots and glossy dark green leaves. This 7-year-old tree has been professionally trained.

**Features:**
- Age: 7 years
- Height: 30cm
- Species: Ficus retusa
- Difficulty: Beginner-friendly
- Location: Indoor bonsai
- Pot included: Glazed ceramic pot

**Care Instructions:**
- Water: Water when soil surface dries out
- Light: Bright indirect light
- Temperature: 15-25°C, avoid drafts
- Humidity: Mist leaves regularly

**Why Ficus?**
Perfect for beginners because it's very forgiving and tolerates some neglect. Grows quickly and develops beautiful aerial roots over time.

**Shipping:**
- EU only
- Includes species-specific care guide
- Gift wrapping available",taxable,,12,119.00,"Live Bonsai Trees","Ficus, Beginner, Indoor, Tropical",,,,,,,,Species,Ficus,Age,7 years,Difficulty,Beginner,2.5,30,25,35
simple,BONSAI-MAPLE-10Y-003,Japanese Maple Bonsai (10 Years),1,1,"Spectacular Japanese Maple with red leaves. 10 years old, premium quality.","The Japanese Maple (Acer palmatum) is prized for its stunning red and orange foliage, especially in autumn. This 10-year-old specimen is a true masterpiece.

**Features:**
- Age: 10 years
- Height: 35cm
- Species: Acer palmatum
- Difficulty: Intermediate
- Location: Outdoor bonsai
- Premium ceramic pot included

**Seasonal Beauty:**
- Spring: Fresh red leaves
- Summer: Deep burgundy foliage
- Autumn: Brilliant orange and red colors
- Winter: Elegant branch structure

**Care Requirements:**
- Water: Keep soil evenly moist, never dry out
- Light: Partial shade (protect from hot afternoon sun)
- Temperature: Hardy, protect from severe frost
- Feeding: Regular fertilizing during growing season

**Note:** This is an intermediate-level bonsai requiring consistent care and attention.

**Shipping:**
- EU only
- Ships with detailed care calendar
- Professional packaging",taxable,,5,249.00,"Live Bonsai Trees","Maple, Intermediate, Outdoor, Deciduous, Premium",,,,,,,,Species,Maple,Age,10 years,Difficulty,Intermediate,3,35,30,40
simple,BONSAI-ELM-3Y-004,Chinese Elm Bonsai (3 Years),1,1,"Classic Chinese Elm, easiest bonsai for beginners. 3 years old.","The Chinese Elm (Ulmus parvifolia) is widely considered the best bonsai for absolute beginners. Hardy, forgiving, and beautiful year-round.

**Features:**
- Age: 3 years
- Height: 20cm
- Species: Ulmus parvifolia
- Difficulty: Beginner (easiest)
- Location: Indoor/Outdoor flexible
- Traditional unglazed pot

**Perfect First Bonsai:**
- Most forgiving species
- Tolerates mistakes
- Fast growing
- Beautiful small leaves
- Can live indoors or outdoors

**Care Instructions:**
- Water: Water thoroughly when soil is slightly dry
- Light: Bright location, some direct sun okay
- Temperature: 10-25°C
- Pruning: Very tolerant of pruning

**Includes:**
- Beginner's care guide
- Watering schedule
- Species poster

**Shipping:** EU only",taxable,,25,59.00,"Live Bonsai Trees","Elm, Beginner, Indoor/Outdoor, Easy Care",,,,,,,,Species,Elm,Age,3 years,Difficulty,Beginner,1.5,20,18,25
simple,BONSAI-PINE-15Y-005,Japanese Black Pine Bonsai (15 Years),1,1,"Premium Japanese Black Pine, 15 years old. Advanced collector's piece.","The Japanese Black Pine (Pinus thunbergii) is a classic bonsai species beloved by collectors worldwide. This 15-year-old specimen shows advanced training techniques.

**Features:**
- Age: 15 years
- Height: 45cm
- Species: Pinus thunbergii
- Difficulty: Advanced
- Location: Outdoor bonsai
- Handmade ceramic pot

**Collector's Quality:**
- Thick, textured bark
- Well-developed nebari (root base)
- Multiple years of wire training
- Traditional Japanese styling
- Museum-quality specimen

**Advanced Techniques Required:**
- Needle plucking
- Candle pruning
- Wire training
- Seasonal care adjustments

**Investment Piece:**
This is a serious bonsai for experienced collectors. Requires knowledge of pine-specific care techniques.

**Shipping:**
- EU only
- Insured shipping
- Expert packaging
- Certificate of authenticity",taxable,,3,599.00,"Live Bonsai Trees","Pine, Advanced, Outdoor, Collector, Premium",,,,,,,,Species,Pine,Age,15 years,Difficulty,Advanced,5,45,40,50
simple,TOOL-PRO-SET-001,Professional Bonsai Tool Set,1,0,"Complete 8-piece professional tool set. Everything you need to maintain your bonsai.","This professional-grade tool set includes all the essential tools for bonsai care and maintenance. Made from high-carbon steel with comfortable handles.

**Includes:**
1. Concave branch cutter (180mm)
2. Wire cutter (160mm)
3. Root hook/rake
4. Trimming scissors (200mm)
5. Long scissors for detail work (180mm)
6. Jin pliers
7. Bud scissors (140mm)
8. Tweezers

**Quality Features:**
- High-carbon Japanese steel
- Precision ground edges
- Comfortable rubber grips
- Rust-resistant coating
- Presentation case included

**Perfect For:**
- Intermediate to advanced bonsai enthusiasts
- Professional growers
- Serious hobbyists

**Maintenance:**
- Wipe clean after use
- Oil occasionally
- Store in dry location

**Warranty:** 2-year manufacturer warranty

**Shipping:** Worldwide",taxable,,50,145.00,"Tools & Accessories","Tools, Professional, Complete Set",,,,,,,,,,,,0.8,35,25,5
simple,TOOL-BEGINNER-001,Beginner's Bonsai Tool Kit,1,1,"Starter kit with 4 essential tools for beginners. Affordable quality.","Perfect starter set for beginners, including the 4 most essential tools you'll need for basic bonsai care.

**Includes:**
1. Trimming scissors (160mm)
2. Wire cutter (140mm)
3. Concave cutter (150mm)
4. Root rake

**Features:**
- Carbon steel construction
- Comfortable handles
- Protective sheaths included
- Storage pouch

**Ideal For:**
- First-time bonsai owners
- Gift giving
- Learning basic techniques

**Quality:**
Good quality tools at an affordable price. Not professional-grade but perfect for learning.

**Includes:** Basic tool guide with usage instructions

**Shipping:** Worldwide",taxable,,100,45.00,"Tools & Accessories","Tools, Beginner, Starter Kit, Gift",,,,,,,,,,,,0.4,25,15,4
simple,TOOL-CONCAVE-001,Premium Concave Branch Cutter,1,0,"Professional concave cutter for clean cuts. Japanese steel, 200mm.","The concave branch cutter is the most important tool in bonsai. This professional model creates the perfect hollow cut for fast healing.

**Specifications:**
- Length: 200mm
- Material: Japanese high-carbon steel
- Blade: Hand-sharpened
- Handles: Non-slip rubber grips
- Finish: Black oxide coating

**Why Concave Cutters?**
Regular pruners leave flush cuts that create ugly scars. Concave cutters create a hollow that heals over naturally, leaving minimal trace.

**Professional Quality:**
- Precision ground blades
- Perfect alignment
- Smooth action
- Long-lasting edge

**Made in Japan**

**Shipping:** Worldwide",taxable,,30,65.00,"Tools & Accessories","Tools, Cutters, Professional, Japanese",,,,,,,,,,,,0.3,22,8,2
simple,WIRE-ALUM-SET-001,Aluminum Training Wire Set,1,0,"Complete wire set: 1mm, 1.5mm, 2mm, 2.5mm, 3mm, 4mm (100m total).","Anodized aluminum wire set in 6 essential sizes for training branches of all thicknesses.

**Includes:**
- 1.0mm x 100g (approx. 30m)
- 1.5mm x 100g (approx. 20m)
- 2.0mm x 100g (approx. 15m)
- 2.5mm x 100g (approx. 12m)
- 3.0mm x 100g (approx. 10m)
- 4.0mm x 100g (approx. 8m)

**Features:**
- Anodized brown finish blends with bark
- Easy to work with
- Reusable
- Doesn't damage bark
- Aluminum won't rust

**Usage Guide:**
- 1-1.5mm: Fine twigs and tips
- 2-2.5mm: Small to medium branches
- 3-4mm: Thick branches and trunks

**Perfect for:** All bonsai species

**Shipping:** Worldwide",taxable,,75,32.00,"Tools & Accessories","Wire, Aluminum, Training, Complete Set",,,,,,,,,,,,0.6,20,15,8
simple,SOIL-AKADAMA-001,Premium Akadama Soil (10L),1,0,"High-quality Japanese akadama clay. Essential for proper drainage and root health.","Akadama is a naturally occurring volcanic clay from Japan, considered the gold standard for bonsai soil.

**Features:**
- Origin: Japan
- Grade: Hard quality
- Size: Medium grain (3-6mm)
- Volume: 10 liters
- Pre-sifted and ready to use

**Benefits:**
- Excellent water retention
- Perfect drainage
- Optimal aeration
- Retains nutrients
- pH neutral

**Usage:**
- Use alone or mix 50/50 with pumice
- Suitable for all species
- Replace every 2-3 years as it breaks down

**Professional Choice:**
Used by Japanese bonsai masters for centuries.

**Note:** Turns reddish-brown when dry (watering indicator)

**Shipping:** EU only (heavy item)",taxable,,40,24.00,"Soil & Fertilizer","Soil, Akadama, Japanese, Premium",,,,,,,,,,,,10,40,30,15
simple,POT-CERAMIC-001,Traditional Ceramic Bonsai Pot - Rectangular,1,0,"Handmade ceramic pot, unglazed brown. Multiple drainage holes. 25x18x8cm.","Beautiful traditional unglazed ceramic bonsai pot, handcrafted by European artisans.

**Specifications:**
- Dimensions: 25cm x 18cm x 8cm (L x W x H)
- Color: Natural brown/terracotta
- Style: Rectangular
- Finish: Unglazed exterior
- Drainage: 4 holes + wire holes
- Feet: Traditional corner feet

**Features:**
- Handmade quality
- Proper drainage holes
- Wire training holes in corners
- Frost resistant
- Breathable ceramic

**Best For:**
- Deciduous trees
- Traditional styling
- Outdoor bonsai
- Trees 25-35cm height

**Care:**
- Clean with water and brush
- Frost proof for outdoor use

**Shipping:** Worldwide (carefully packaged)",taxable,,20,38.00,"Pots & Containers","Pots, Ceramic, Rectangular, Handmade",,,,,,,,,,,,1.2,25,18,8
simple,POT-GLAZED-001,Glazed Ceramic Pot - Ocean Blue Oval,1,1,"Stunning ocean blue glazed pot. Perfect for indoor displays. 20x15x6cm.","Beautiful glazed ceramic pot in deep ocean blue. Ideal for indoor bonsai and accent plants.

**Specifications:**
- Dimensions: 20cm x 15cm x 6cm (L x W x H)
- Color: Ocean blue glaze
- Style: Oval
- Finish: High-gloss glaze
- Drainage: 3 holes + wire holes
- Base: Carved foot detail

**Features:**
- Artisan-crafted
- Gorgeous blue glaze
- Complements green foliage
- Perfect for indoor display
- Matching drip tray available

**Ideal For:**
- Ficus bonsai
- Indoor tropical species
- Accent plants
- Modern interiors

**Handcrafted:**
Each pot is unique with slight variations

**Shipping:** Worldwide (fragile - extra care packaging)",taxable,,15,52.00,"Pots & Containers","Pots, Glazed, Oval, Blue, Premium",,,,,,,,,,,,0.8,20,15,6
simple,FERT-ORGANIC-001,Organic Bonsai Fertilizer (500ml),1,0,"Balanced NPK organic liquid fertilizer. For all bonsai species during growing season.","Premium organic liquid fertilizer specially formulated for bonsai trees. Provides balanced nutrition throughout the growing season.

**NPK Ratio:** 5-5-5 (Balanced)

**Features:**
- 100% organic ingredients
- Liquid formula for easy application
- Safe for all species
- Won't burn roots
- Includes trace minerals

**Application:**
- Dilute 10ml per 1L of water
- Apply every 2 weeks (March-October)
- Reduce to monthly in winter
- Don't fertilize sick trees

**Volume:** 500ml (makes 50 liters)

**Ingredients:**
- Seaweed extract
- Fish emulsion
- Humic acids
- Trace minerals

**Eco-Friendly:**
- Organic certified
- Sustainable sourcing
- Recyclable bottle

**Shipping:** EU only (liquid restriction)",taxable,,60,16.50,"Soil & Fertilizer","Fertilizer, Organic, Liquid, NPK",,,,,,,,,,,,0.5,20,8,8
downloadable,GUIDE-BEGINNER-PDF-001,Complete Beginner's Bonsai Guide (PDF),1,1,"Comprehensive 80-page PDF guide for bonsai beginners. Instant download.","The ultimate beginner's guide to bonsai care and cultivation. Written by experienced bonsai masters, this comprehensive guide covers everything you need to know.

**Contents:**
- Chapter 1: Introduction to Bonsai (History & Philosophy)
- Chapter 2: Choosing Your First Bonsai
- Chapter 3: Essential Tools and Materials
- Chapter 4: Basic Care (Water, Light, Feeding)
- Chapter 5: Pruning and Shaping Techniques
- Chapter 6: Repotting Guide
- Chapter 7: Common Problems and Solutions
- Chapter 8: Species Guides (10 beginner species)
- Chapter 9: Seasonal Care Calendar
- Chapter 10: Advanced Techniques Preview

**Format:** PDF (80 pages)
**Images:** 150+ full-color photos and diagrams
**Language:** English
**File Size:** 25MB

**Bonus Materials:**
- Printable care schedule
- Species identification chart
- Troubleshooting flowchart
- Recommended resources list

**Instant Access:**
Download immediately after purchase. No waiting!

**Device Compatible:**
- Computer (PC/Mac)
- Tablet
- Smartphone
- E-reader

**Shipping:** Digital download - no shipping required",taxable,,999,9.99,"Care Guides","Guide, PDF, Beginner, Digital, Download",,3,30,,,,,,,,,,
downloadable,GUIDE-SPECIES-JUN-001,Japanese Juniper Care Guide (PDF),1,0,"Species-specific care guide for Juniper bonsai. 20 pages, instant download.","Everything you need to know about caring for Japanese Juniper bonsai specifically.

**Covers:**
- Juniper species overview
- Seasonal care requirements
- Watering schedule
- Light and temperature needs
- Soil and fertilizing
- Pruning techniques (timing and methods)
- Wiring guidelines
- Common pests and diseases
- Styling options
- Seasonal progression photos

**Format:** PDF (20 pages)
**Images:** 30+ photos
**Language:** English
**File Size:** 8MB

**Written by:** Professional juniper grower with 25 years experience

**Perfect For:**
- Juniper owners
- Species enthusiasts
- Complementary to tree purchase

**Instant Download**

**Shipping:** Digital download",taxable,,999,4.99,"Care Guides","Guide, PDF, Juniper, Species, Download",,3,30,,,,,,,,,,
simple,KIT-STARTER-001,Complete Beginner Starter Kit,1,1,"Everything needed to start: 3-year Chinese Elm + tools + soil + pot + guide.","The perfect all-in-one package for someone starting their bonsai journey. Save €25 compared to buying separately!

**Includes:**
1. Chinese Elm Bonsai (3 years old, 20cm)
2. Beginner tool set (4 tools)
3. 3L bag of bonsai soil mix
4. Ceramic training pot
5. Watering can with fine rose
6. Misting spray bottle
7. Complete beginner's guide (PDF)
8. Care calendar poster

**Total Value:** €154
**Kit Price:** €129 (Save €25!)

**Why This Kit?**
- Chinese Elm: Most beginner-friendly species
- Quality tools to last years
- Proper soil for healthy growth
- Everything you need in one purchase
- Perfect gift for aspiring bonsai enthusiasts

**Packaging:**
Beautiful presentation box suitable for gift giving

**Shipping:** EU only (contains live plant)

**Perfect Gift:**
Add gift message at checkout!",taxable,,20,129.00,"Starter Kits","Kit, Beginner, Complete, Gift, Bundle",,,,,,,,,,,,3.5,35,25,30
simple,KIT-ADVANCED-001,Advanced Styling Kit,1,0,"Professional styling kit: Premium tools + wire set + cut paste + Jin fluid.","For the serious bonsai artist ready to take their skills to the next level.

**Includes:**
1. Professional concave cutter (200mm)
2. Jin pliers (180mm)
3. Wire cutter (170mm)
4. Complete aluminum wire set (6 sizes)
5. Complete copper wire set (5 sizes)
6. Cut paste (100ml)
7. Jin fluid (100ml)
8. Grafting tape
9. Wound sealant
10. Professional tool roll

**Total Value:** €245
**Kit Price:** €199 (Save €46!)

**Advanced Techniques:**
- Branch removal
- Deadwood creation (Jin/Shari)
- Complex wiring
- Grafting
- Professional finishing

**Professional Quality:**
All tools are professional-grade, made to last a lifetime with proper care.

**Shipping:** Worldwide",taxable,,10,199.00,"Starter Kits","Kit, Advanced, Professional, Tools, Bundle",,,,,,,,,,,,2,40,30,10
simple,PEST-NEEM-001,Organic Neem Oil Spray (250ml),1,0,"Natural pest control. Safe for all bonsai. Controls aphids, spider mites, scale.","100% organic neem oil spray for safe and effective pest control on bonsai trees.

**Controls:**
- Aphids
- Spider mites
- Scale insects
- Whiteflies
- Fungus gnats
- Powdery mildew

**Features:**
- Organic/natural
- Safe for indoor use
- Won't harm beneficial insects
- Also acts as leaf shine
- Pleasant smell

**Application:**
- Spray affected areas thoroughly
- Apply in evening (avoid direct sun)
- Repeat weekly for 3 weeks
- Preventative: Monthly spray

**Volume:** 250ml spray bottle

**Safe For:**
- All bonsai species
- Indoor and outdoor use
- Organic gardening

**Ingredients:**
- Cold-pressed neem oil
- Emulsifiers (plant-based)
- Water

**Shipping:** EU only (liquid)",taxable,,45,12.50,"Pest Control","Pest Control, Organic, Neem Oil, Spray",,,,,,,,,,,,0.3,18,8,8
simple,ACC-HUMIDITY-001,Humidity Tray - 30cm,1,0,"Ceramic humidity tray for indoor bonsai. Increases humidity, decorative.","Attractive ceramic humidity tray helps maintain ideal humidity levels for indoor bonsai.

**Specifications:**
- Size: 30cm diameter
- Color: Natural terracotta
- Material: Glazed ceramic
- Grid included: Plastic mesh

**How It Works:**
1. Fill tray with water
2. Place grid on top
3. Set bonsai pot on grid
4. Water evaporates, increasing humidity
5. Pot stays dry (roots don't sit in water)

**Benefits:**
- Prevents dry air damage
- Healthier foliage
- Better for tropical species
- Attractive display
- Easy maintenance

**Perfect For:**
- Ficus
- Carmona (Fukien Tea)
- Chinese Elm (indoors)
- Tropical species
- Dry indoor environments

**Care:**
- Refill water as needed
- Clean occasionally

**Shipping:** Worldwide",taxable,,35,18.00,"Accessories","Accessories, Humidity, Tray, Indoor",,,,,,,,,,,,0.6,30,30,3
simple,ACC-TURNTABLE-001,Rotating Work Turntable,1,0,"360° rotating turntable for easy working. Non-slip surface. 30cm diameter.","Professional rotating turntable makes pruning, wiring, and styling much easier.

**Features:**
- Diameter: 30cm
- Rotation: 360° smooth bearing
- Surface: Non-slip rubber mat
- Height: Elevated 8cm
- Capacity: Up to 20kg
- Material: Heavy-duty plastic

**Why Use a Turntable?**
- Work on all sides without moving tree
- Better ergonomics (no bending)
- See your work from all angles
- Professional results
- Reduces back strain

**Perfect For:**
- Detailed work
- Wiring sessions
- Pruning
- Photography
- Display

**Quality:**
Smooth ball-bearing rotation, built to last

**Shipping:** Worldwide",taxable,,25,28.00,"Accessories","Accessories, Turntable, Work, Professional",,,,,,,,,,,,1,30,30,8